"type","severity","norm_severity","smell","quality"
"io.kubernetes.client.openapi.models.V1PolicyRule","13,443","1.0943073639624221","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta2ResourcePolicyRule","13,309","1.0933270000551507","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta2ResourcePolicyRule","13,309","1.0933270000551507","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1beta3ResourcePolicyRule","13,309","1.0933270000551507","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1beta3ResourcePolicyRule","13,309","1.0933270000551507","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1RuleWithOperations","13,266","1.093006350103688","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1RuleWithOperations","13,266","1.093006350103688","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1ResourceRule","12,726","1.0890398848098468","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1ResourceRule","12,726","1.0890398848098468","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1NetworkPolicySpec","12,580","1.0879618920681031","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1NetworkPolicySpec","12,580","1.0879618920681031","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1IngressSpec","12,438","1.0869218316924123","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1IngressSpec","12,438","1.0869218316924123","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1UserInfo","12,426","1.086834029652563","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1UserInfo","12,426","1.086834029652563","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1APIVersions","12,418","1.0867748143233622","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1APIVersions","12,418","1.0867748143233622","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ServerStorageVersion","12,405","1.0866768027439955","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1alpha1ServerStorageVersion","12,405","1.0866768027439955","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1SubjectRulesReviewStatus","12,398","1.0866277969543119","Insufficient Modularization","Modularity, Maintainability"
"io.kubernetes.client.openapi.models.V1SubjectRulesReviewStatus","12,398","1.0866277969543119","Multifaceted Abstraction","Cohesion"
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBindingList","12,276","1.0857307589104688","Insufficient Modularization","Modularity, Maintainability"
