"type","dep","i-dep","fan-in","fan-out"
"io.kubernetes.client.openapi.models.AdmissionregistrationV1ServiceReference",26,1,1,9
"io.kubernetes.client.openapi.models.ApiextensionsV1ServiceReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha1ClusterCIDRSpec",27,2,1,10
"io.kubernetes.client.openapi.models.V1AzureFilePersistentVolumeSource",26,1,1,9
"io.kubernetes.client.openapi.models.V1CinderPersistentVolumeSource",27,2,1,10
"io.kubernetes.client.openapi.models.V1CinderVolumeSource",27,2,1,10
"io.kubernetes.client.openapi.models.V1EnvVarSource",30,5,1,13
"io.kubernetes.client.openapi.models.V1GlusterfsPersistentVolumeSource",26,1,1,9
"io.kubernetes.client.openapi.models.V1VolumeProjection",30,5,1,13
"io.kubernetes.client.openapi.models.V2MetricTarget",27,2,5,10
"io.kubernetes.client.openapi.models.CoreV1EndpointPort",26,1,1,9
"io.kubernetes.client.openapi.models.V1alpha1ClusterCIDR",28,3,2,12
"io.kubernetes.client.openapi.models.V1alpha1IPAddress",28,3,2,12
"io.kubernetes.client.openapi.models.V1alpha1SelfSubjectReview",28,3,1,12
"io.kubernetes.client.openapi.models.V1alpha1ValidatingAdmissionPolicyBinding",28,3,2,12
"io.kubernetes.client.openapi.models.V1beta1SelfSubjectReview",28,3,1,12
"io.kubernetes.client.openapi.models.V1beta1ValidatingAdmissionPolicyBinding",28,3,2,12
"io.kubernetes.client.openapi.models.V1Eviction",28,3,1,12
"io.kubernetes.client.openapi.models.V1IngressClass",28,3,2,12
"io.kubernetes.client.openapi.models.V1Lease",28,3,2,12
"io.kubernetes.client.openapi.models.V1LimitRange",28,3,2,12
"io.kubernetes.client.openapi.models.V1NetworkPolicy",28,3,2,12
"io.kubernetes.client.openapi.models.V1PodDisruptionBudgetSpec",28,3,1,11
"io.kubernetes.client.openapi.models.V1PodTemplate",28,3,2,12
"io.kubernetes.client.openapi.models.V1SelfSubjectReview",28,3,1,12
"io.kubernetes.client.openapi.models.V1ReplicationControllerSpec",27,2,1,11
"io.kubernetes.client.openapi.models.V1alpha1ParamRef",27,2,1,10
"io.kubernetes.client.openapi.models.V1beta1ParamRef",27,2,1,10
"io.kubernetes.client.openapi.models.V1NodeConfigStatus",27,2,1,10
"io.kubernetes.client.openapi.models.V1AWSElasticBlockStoreVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1BoundObjectReference",26,1,1,9
"io.kubernetes.client.openapi.models.V1GCEPersistentDiskVolumeSource",26,1,2,9
"io.kubernetes.client.openapi.models.V1ReplicaSetSpec",28,3,1,11
"io.kubernetes.client.openapi.models.V1SELinuxOptions",26,1,2,9
"io.kubernetes.client.openapi.models.V1SubjectAccessReviewStatus",26,1,3,9
"io.kubernetes.client.openapi.models.V1APIGroupList",28,2,1,10
